SDKResource,Name
aws_applicationinsights_application,Application
aws_chime_voice_connector,
aws_vpc_dhcp_options,DHCP Options
aws_vpn_connection_route,
aws_iam_group_policy_attachment,
aws_neptune_cluster_snapshot,
aws_route53_resolver_query_log_config_association,
aws_codestarnotifications_notification_rule,Notification Rule
aws_emrcontainers_job_template,Job Template
aws_grafana_license_association,
aws_location_tracker_association,
aws_opsworks_ecs_cluster_layer,ECS Cluster Layer
aws_acmpca_certificate_authority,Certificate Authority
aws_autoscaling_group,
aws_vpc_ipam,IPAM
aws_neptune_cluster_endpoint,Cluster Endpoint
aws_rum_app_monitor,App Monitor
aws_securityhub_invite_accepter,
aws_glue_user_defined_function,
aws_cloudsearch_domain_service_access_policy,
aws_codeartifact_repository_permissions_policy,
aws_globalaccelerator_custom_routing_endpoint_group,
aws_storagegateway_cache,
aws_lambda_function,Function
aws_quicksight_account_subscription,Account Subscription
aws_transfer_ssh_key,
aws_storagegateway_smb_file_share,SMB File Share
aws_xray_group,Group
aws_acmpca_certificate,
aws_api_gateway_method,
aws_cur_report_definition,
aws_cloudwatch_event_rule,Rule
aws_fsx_openzfs_file_system,OpenZFS File System
aws_db_option_group,DB Option Group
aws_dms_endpoint,Endpoint
aws_ami_launch_permission,
aws_imagebuilder_image_pipeline,Image Pipeline
aws_s3_bucket_intelligent_tiering_configuration,
aws_vpclattice_auth_policy,
aws_db_parameter_group,DB Parameter Group
aws_api_gateway_authorizer,
aws_dms_replication_subnet_group,Replication Subnet Group
aws_ec2_managed_prefix_list_entry,
aws_load_balancer_backend_server_policy,
aws_ivschat_logging_configuration,Logging Configuration
aws_lightsail_domain_entry,
aws_workspaces_ip_group,IP Group
aws_api_gateway_client_certificate,Client Certificate
aws_iam_openid_connect_provider,OIDC Provider
aws_inspector2_delegated_admin_account,
aws_opsworks_haproxy_layer,HAProxy Layer
aws_rbin_rule,Rule
aws_sagemaker_domain,Domain
aws_ec2_transit_gateway_route_table,Transit Gateway Route Table
aws_cloudwatch_event_endpoint,Global Endpoint
aws_ssm_association,
aws_snapshot_create_volume_permission,
aws_ec2_transit_gateway_vpc_attachment_accepter,Transit Gateway VPC Attachment
aws_default_vpc,VPC
aws_kendra_thesaurus,Thesaurus
aws_timestreamwrite_table,Table
aws_cloudwatch_event_permission,
aws_evidently_project,Project
aws_glue_resource_policy,
aws_kms_grant,
aws_servicecatalog_product_portfolio_association,
aws_service_discovery_instance,
aws_appmesh_virtual_gateway,Virtual Gateway
aws_ec2_transit_gateway_prefix_list_reference,
aws_iam_user,User
aws_docdb_cluster_instance,Cluster Instance
aws_identitystore_user,
aws_inspector_assessment_template,Assessment Template
aws_msk_serverless_cluster,Serverless Cluster
aws_media_store_container,Container
aws_networkmanager_site,Site
aws_connect_bot_association,
aws_ec2_transit_gateway_peering_attachment_accepter,Transit Gateway Peering Attachment
aws_elastic_beanstalk_application_version,Application Version
aws_pinpoint_app,App
aws_route53_key_signing_key,
aws_servicecatalog_tag_option_resource_association,
aws_apprunner_observability_configuration,Observability Configuration
aws_config_configuration_recorder,
aws_eks_addon,Add-On
aws_iam_instance_profile,Instance Profile
aws_lambda_layer_version,
aws_pinpoint_event_stream,
aws_fis_experiment_template,Experiment Template
aws_kendra_index,Index
aws_redshiftserverless_usage_limit,
aws_servicecatalog_product,Product
aws_lightsail_static_ip_attachment,
aws_resourcegroups_resource,Resource
aws_secretsmanager_secret_version,
aws_servicecatalog_principal_portfolio_association,
aws_apigatewayv2_integration_response,
aws_vpc_ipam_organization_admin_account,
aws_db_proxy_endpoint,DB Proxy Endpoint
aws_lightsail_bucket,Bucket
aws_organizations_organization,
aws_s3control_multi_region_access_point,
aws_workspaces_workspace,Workspace
aws_account_primary_contact,
aws_guardduty_threatintelset,Threat Intel Set
aws_lightsail_instance_public_ports,
aws_waf_rule,Rule
aws_schemas_registry,Registry
aws_api_gateway_deployment,
aws_api_gateway_domain_name,Domain Name
aws_appmesh_gateway_route,Gateway Route
aws_glue_workflow,Workflow
aws_ivs_playback_key_pair,Playback Key Pair
aws_redshift_subnet_group,Subnet Group
aws_db_snapshot,DB Snapshot
aws_cloudhsm_v2_cluster,Cluster
aws_ec2_instance_state,
aws_efs_mount_target,
aws_cloudwatch_log_resource_policy,
aws_networkmanager_transit_gateway_registration,
aws_opsworks_ganglia_layer,Ganglia Layer
aws_comprehend_entity_recognizer,Entity Recognizer
aws_network_interface,Network Interface
aws_organizations_account,Account
aws_db_instance_automated_backups_replication,
aws_s3control_multi_region_access_point_policy,
aws_dx_hosted_transit_virtual_interface_accepter,Hosted Transit Virtual Interface
aws_ecs_service,Service
aws_alb_listener,Listener
aws_iot_thing_group,Thing Group
aws_scheduler_schedule_group,Schedule Group
aws_detective_invitation_accepter,
aws_sagemaker_servicecatalog_portfolio_status,
aws_securityhub_action_target,
aws_sns_topic_data_protection_policy,
aws_controltower_control,
aws_devicefarm_upload,
aws_grafana_workspace_saml_configuration,
aws_guardduty_organization_admin_account,
aws_datasync_location_fsx_openzfs_file_system,Location OpenZFS File System
aws_api_gateway_rest_api,REST API
aws_chime_voice_connector_streaming,
aws_codebuild_project,Project
aws_glue_schema,Schema
aws_ssm_service_setting,
aws_cognito_identity_pool,Pool
aws_sagemaker_flow_definition,Flow Definition
aws_sns_platform_application,
aws_storagegateway_working_storage,
aws_worklink_fleet,
aws_account_alternate_contact,
aws_config_organization_custom_policy_rule,
aws_ec2_client_vpn_endpoint,Client VPN Endpoint
aws_medialive_input_security_group,Input Security Group
aws_connect_hours_of_operation,Hours Of Operation
aws_dynamodb_table_item,
aws_elasticache_parameter_group,Parameter Group
aws_guardduty_ipset,IP Set
aws_vpc_ipam_pool,IPAM Pool
aws_lakeformation_lf_tag,
aws_lightsail_lb_certificate_attachment,
aws_ssoadmin_permissions_boundary_attachment,
aws_api_gateway_stage,Stage
aws_ec2_client_vpn_authorization_rule,
aws_ivs_recording_configuration,Recording Configuration
aws_rolesanywhere_profile,Profile
aws_ses_receipt_rule_set,
aws_waf_geo_match_set,
aws_docdb_event_subscription,Event Subscription
aws_route_table,Route Table
aws_elastictranscoder_preset,
aws_glacier_vault_lock,
aws_dynamodb_tag,
aws_iam_policy_attachment,
aws_iot_thing_principal_attachment,
aws_accessanalyzer_analyzer,Analyzer
aws_codebuild_resource_policy,
aws_ram_resource_association,
aws_ssm_patch_group,
aws_ec2_availability_zone_group,
aws_route53_hosted_zone_dnssec,
aws_dx_connection,Connection
aws_emr_security_configuration,
aws_cloudwatch_event_target,
aws_imagebuilder_component,Component
aws_lakeformation_resource,
aws_acm_certificate,Certificate
aws_appstream_fleet,Fleet
aws_appstream_user,
aws_chime_voice_connector_origination,
aws_dx_connection_association,
aws_iam_role,Role
aws_sagemaker_image_version,
aws_securityhub_member,
aws_iot_provisioning_template,Provisioning Template
aws_athena_database,
aws_autoscaling_traffic_source_attachment,
aws_codestarconnections_host,
aws_datasync_agent,Agent
aws_ebs_default_kms_key,
aws_emr_managed_scaling_policy,
aws_appsync_resolver,
aws_glue_job,Job
aws_kinesis_analytics_application,Application
aws_wafregional_web_acl_association,
aws_budgets_budget_action,
aws_ivschat_room,Room
aws_ses_domain_dkim,
aws_signer_signing_job,
aws_vpclattice_target_group,Target Group
aws_codestarconnections_connection,Connection
aws_comprehend_document_classifier,Document Classifier
aws_connect_user_hierarchy_structure,
aws_dynamodb_table_replica,Table Replica
aws_ec2_traffic_mirror_target,Traffic Mirror Target
aws_glue_ml_transform,ML Transform
aws_network_acl_association,
aws_lambda_layer_version_permission,
aws_lightsail_lb_stickiness_policy,
aws_networkmanager_connection,Connection
aws_db_proxy,DB Proxy
aws_redshift_snapshot_schedule_association,
aws_ssmincidents_replication_set,Replication Set
aws_api_gateway_vpc_link,VPC Link
aws_apprunner_connection,Connection
aws_dx_hosted_private_virtual_interface_accepter,Hosted Private Virtual Interface
aws_ec2_transit_gateway_multicast_group_source,
aws_default_network_acl,Network ACL
aws_vpc_peering_connection_accepter,VPC Peering Connection
aws_acmpca_certificate_authority_certificate,
aws_appmesh_mesh,Service Mesh
aws_cloudfront_field_level_encryption_profile,
aws_vpc_endpoint_subnet_association,
aws_iot_authorizer,
aws_wafregional_rule,Rule
aws_security_group_rule,
aws_shield_protection,Protection
aws_backup_plan,Plan
aws_backup_vault_notifications,
aws_pinpoint_apns_voip_channel,
aws_ses_configuration_set,
aws_ses_domain_identity_verification,
aws_cognito_identity_pool_provider_principal_tag,
aws_lambda_provisioned_concurrency_config,
aws_s3_bucket_lifecycle_configuration,
aws_ec2_client_vpn_network_association,
aws_iam_service_specific_credential,
aws_lambda_permission,
aws_emr_studio,Studio
aws_kinesisanalyticsv2_application_snapshot,
aws_quicksight_group_membership,Group Membership
aws_route53_record,
aws_s3_bucket_logging,
aws_apigatewayv2_route_response,
aws_cloudfront_origin_access_control,
aws_ebs_snapshot,EBS Snapshot
aws_wafregional_geo_match_set,
aws_worklink_website_certificate_authority_association,
aws_rds_cluster_activity_stream,
aws_fsx_windows_file_system,Windows File System
aws_db_subnet_group,DB Subnet Group
aws_sagemaker_app_image_config,App Image Config
aws_apigatewayv2_stage,Stage
aws_dax_cluster,Cluster
aws_dx_bgp_peer,
aws_ec2_transit_gateway_route_table_association,
aws_egress_only_internet_gateway,Egress-only Internet Gateway
aws_ecr_replication_configuration,
aws_vpclattice_target_group_attachment,Target Group Attachment
aws_prometheus_workspace,Workspace
aws_cloudformation_stack_set_instance,
aws_internet_gateway,Internet Gateway
aws_ec2_carrier_gatewa,Carrier Gateway
aws_iam_role_policy,
aws_sagemaker_studio_lifecycle_config,Studio Lifecycle Config
aws_ssoadmin_permission_set_inline_policy,
aws_waf_byte_match_set,
aws_api_gateway_request_validator,
aws_codedeploy_deployment_group,Deployment Group
aws_subnet,Subnet
aws_elastic_beanstalk_application,Application
aws_imagebuilder_container_recipe,Container Recipe
aws_redshift_snapshot_copy_grant,Snapshot Copy Grant
aws_waf_xss_match_set,
aws_wafregional_web_acl,Web ACL
aws_s3_bucket_metric,
aws_sagemaker_model_package_group_policy,
aws_appconfig_extension_association,
aws_appsync_type,
aws_vpc,VPC
aws_nat_gateway,NAT Gateway
aws_fsx_lustre_file_system,Lustre File System
aws_kms_custom_key_store,
aws_appflow_flow,Flow
aws_devicefarm_instance_profile,Instance Profile
aws_sagemaker_code_repository,Code Repository
aws_emrserverless_application,Application
aws_kms_replica_external_key,Replica External Key
aws_lightsail_lb_attachment,
aws_ssm_patch_baseline,Patch Baseline
aws_wafregional_byte_match_set,
aws_docdb_cluster_parameter_group,Cluster Parameter Group
aws_eip_association,
aws_ec2_transit_gateway_connect,Transit Gateway Connect
aws_globalaccelerator_custom_routing_accelerator,Custom Routing Accelerator
aws_sagemaker_image,Image
aws_kinesisanalyticsv2_application,Application
aws_oam_sink_policy,
aws_backup_report_plan,Report Plan
aws_dx_hosted_connection,
aws_dms_certificate,Certificate
aws_directory_service_log_subscription,
aws_eks_node_group,Node Group
aws_iot_policy_attachment,
aws_sagemaker_user_profile,User Profile
aws_codepipeline_custom_action_type,Custom Action Type
aws_connect_contact_flow_module,Contact Flow Module
aws_vpn_connection,VPN Connection
aws_iam_user_group_membership,
aws_ssoadmin_instance_access_control_attributes,
aws_route53_traffic_policy_instance,
aws_ses_event_destination,
aws_efs_file_system_policy,
aws_lb,Load Balancer
aws_iam_group_membership,
aws_iot_indexing_configuration,
aws_lambda_invocation,
aws_macie2_invitation_accepter,
aws_ssoadmin_customer_managed_policy_attachment,
aws_xray_sampling_rule,Sampling Rule
aws_datasync_location_smb,Location SMB
aws_codedeploy_app,App
aws_emr_block_public_access_configuration,
aws_ses_receipt_rule,
aws_api_gateway_account,
aws_kms_external_key,External Key
aws_s3_access_point,
aws_cognito_risk_configuration,
aws_guardduty_detector,Detector
aws_msk_configuration,
aws_scheduler_schedule,
aws_ses_domain_identity,
aws_vpc_endpoint_security_group_association,
aws_opensearch_domain_policy,
aws_sagemaker_workteam,Workteam
aws_athena_named_query,
aws_batch_compute_environment,Compute Environment
aws_cognito_user_pool,User Pool
aws_lightsail_certificate,Certificate
aws_s3control_storage_lens_configuration,Storage Lens Configuration
aws_sqs_queue_policy,
aws_cloudwatch_log_data_protection_policy,
aws_wafregional_ipset,
aws_apigatewayv2_model,
aws_cognito_user_pool_ui_customization,
aws_connect_user,User
aws_ec2_traffic_mirror_filter_rule,
aws_ecr_repository_policy,
aws_evidently_launch,Launch
aws_acmpca_permission,
aws_cloudtrail,Trail
aws_cloudwatch_log_group,Log Group
aws_quicksight_group,Group
aws_route53_query_log,
aws_autoscaling_schedule,
aws_cloudfront_distribution,Distribution
aws_servicecatalog_budget_resource_association,
aws_appstream_fleet_stack_association,
aws_sagemaker_model,Model
aws_ses_receipt_filter,
aws_ssmcontacts_contact,Context
aws_datasync_location_object_storage,Location Object Storage
aws_devicefarm_device_pool,Device Pool
aws_keyspaces_table,Table
aws_kms_alias,
aws_quicksight_data_set,Data Set
aws_route53_vpc_association_authorization,
aws_elasticache_user,User
aws_cloudwatch_event_bus,Event Bus
aws_cloudwatch_log_stream,
aws_acmpca_policy,
aws_vpc_network_performance_metric_subscription,
aws_globalaccelerator_listener,
aws_lightsail_lb_certificate,
aws_servicecatalog_portfolio_share,
aws_transcribe_vocabulary_filter,Vocabulary Filter
aws_apigatewayv2_vpc_link,VPC Link
aws_ec2_client_vpn_route,
aws_medialive_input,Input
aws_s3_bucket_object_lock_configuration,
aws_secretsmanager_secret,Secret
aws_api_gateway_gateway_response,
aws_cognito_user_in_group,
aws_elasticsearch_domain_policy,
aws_route53_resolver_config,
aws_dx_public_virtual_interface,Public Virtual Interface
aws_guardduty_publishing_destination,
aws_networkmanager_connect_peer,Connect Peer
aws_redshift_hsm_client_certificate,HSM Client Certificate
aws_route53_resolver_rule_association,
aws_s3_bucket_inventory,
aws_prometheus_rule_group_namespace,
aws_api_gateway_model,
aws_datasync_location_fsx_windows_file_system,Location FSx Windows File System
aws_ec2_transit_gateway,Transit Gateway
aws_opensearch_outbound_connection,
aws_redshift_cluster_snapshot,Cluster Snapshot
aws_gamelift_game_session_queue,Game Session Queue
aws_iam_user_policy,
aws_kendra_experience,
aws_networkmanager_customer_gateway_association,
aws_s3_bucket_policy,
aws_securityhub_product_subscription,
aws_appstream_directory_config,
aws_ec2_host,Host
aws_glue_catalog_table,
aws_mskconnect_custom_plugin,
aws_macie2_account,
aws_macie2_classification_job,Classification Job
aws_codeartifact_domain,Domain
aws_s3_bucket_object,Object
aws_opsworks_nodejs_app_layer,NodeJS App Layer
aws_route53_zone,Hosted Zone
aws_config_conformance_pack,
aws_dlm_lifecycle_policy,Lifecycle Policy
aws_licensemanager_grant,
aws_sagemaker_endpoint_configuration,Endpoint Configuration
aws_ssm_document,Document
aws_s3_bucket_accelerate_configuration,
aws_vpc_endpoint_service,VPC Endpoint Service
aws_organizations_policy_attachment,
aws_signer_signing_profile,Signing Profile
aws_appconfig_deployment_strategy,Deployment Strategy
aws_dx_lag,LAG
aws_lex_intent,
aws_lightsail_static_ip,
aws_dx_hosted_public_virtual_interface,
aws_ebs_snapshot_import,EBS Snapshot
aws_licensemanager_license_configuration,License Configuration
aws_lightsail_lb_https_redirection_policy,
aws_location_place_index,Map
aws_sagemaker_endpoint,Endpoint
aws_backup_vault_policy,
aws_cloudfront_realtime_log_config,
aws_cloudwatch_log_subscription_filter,
aws_ec2_transit_gateway_policy_table,Transit Gateway Policy Table
aws_sesv2_email_identity_mail_from_attributes,
aws_route53_traffic_policy,
aws_shield_protection_health_check_association,
aws_athena_data_catalog,Data Catalog
aws_spot_fleet_request,Spot Fleet Request
aws_iot_logging_options,
aws_networkfirewall_resource_policy,
aws_pinpoint_apns_sandbox_channel,
aws_route53_health_check,Health Check
aws_storagegateway_upload_buffer,
aws_amplify_webhook,
aws_api_gateway_integration_response,
aws_connect_phone_number,Phone Number
aws_internetmonitor_monitor,Monitor
aws_rds_cluster_role_association,
aws_s3_object_copy,Object
aws_cloud9_environment_membership,
aws_default_vpc_dhcp_options,DHCP Options
aws_guardduty_filter,Filter
aws_ses_email_identity,
aws_vpclattice_listener_rule,Listener Rule
aws_api_gateway_method_response,
aws_codegurureviewer_repository_association,Repository Association
aws_elasticache_replication_group,Replication Group
aws_route53recoveryreadiness_cell,Cell
aws_sagemaker_monitoring_schedule,
aws_securityhub_organization_configuration,
aws_config_remediation_configuration,
aws_fsx_ontap_storage_virtual_machine,ONTAP Storage Virtual Machine
aws_glue_trigger,Trigger
aws_lambda_event_source_mapping,
aws_opsworks_instance,
aws_api_gateway_integration,
aws_appconfig_application,Application
aws_launch_configuration,
aws_network_acl,Network ACL
aws_efs_replication_configuration,
aws_neptune_cluster_parameter_group,Cluster Parameter Group
aws_config_organization_conformance_pack,
aws_connect_queue,Queue
aws_appstream_user_stack_association,
aws_ec2_transit_gateway_connect_peer,Transit Gateway Connect Peer
aws_kendra_query_suggestions_block_list,Query Suggestions Block List
aws_media_convert_queue,Queue
aws_organizations_delegated_administrator,
aws_sagemaker_project,Project
aws_redshiftserverless_namespace,Namespace
aws_serverlessapplicationrepository_cloudformation_stack,CloudFormation Stack
aws_cloudsearch_domain,
aws_cloudwatch_metric_alarm,Metric Alarm
aws_gamelift_game_server_group,Game Server Group
aws_iam_server_certificate,Server Certificate
aws_inspector2_organization_configuration,
aws_lightsail_distribution,Distribution
aws_transcribe_vocabulary,Vocabulary
aws_waf_size_constraint_set,
aws_dataexchange_data_set,Data Set
aws_directory_service_directory,Directory
aws_dynamodb_table,Table
aws_default_route_table,Route Table
aws_lightsail_database,Database
aws_securityhub_organization_admin_account,
aws_sqs_queue,Queue
aws_accessanalyzer_archive_rule,
aws_route,
aws_msk_cluster,Cluster
aws_rds_global_cluster,
aws_redshift_endpoint_access,
aws_s3_bucket_versioning,
aws_ce_cost_allocation_tag,
aws_alb_listener_certificate,
aws_lb_target_group_attachment,
aws_cloudwatch_log_destination,Destination
aws_iam_role_policy_attachment,
aws_ami_copy,AMI
aws_glue_crawler,Crawler
aws_kinesis_stream,Stream
aws_vpc_endpoint_service_allowed_principal,
aws_elasticache_cluster,Cluster
aws_cloudwatch_query_definition,
aws_sesv2_configuration_set,Configuration Set
aws_iam_account_password_policy,
aws_autoscaling_lifecycle_hook,
aws_cloudfront_function,
aws_directory_service_radius_settings,
aws_ebs_encryption_by_default,
aws_ecrpublic_repository,Repository
aws_elasticache_subnet_group,Subnet Group
aws_appstream_image_builder,Image Builder
aws_cloudfront_origin_access_identity,
aws_neptune_global_cluster,
aws_sqs_queue_redrive_policy,
aws_ssm_resource_data_sync,
aws_wafv2_rule_group,Rule Group
aws_api_gateway_rest_api_policy,
aws_autoscaling_notification,
aws_ce_anomaly_monitor,Anomaly Monitor
aws_ec2_managed_prefix_list,Managed Prefix List
aws_mwaa_environment,Environment
aws_storagegateway_cached_iscsi_volume,Cached iSCSI Volume
aws_efs_access_point,Access Point
aws_cloudwatch_event_connection,
aws_macie2_custom_data_identifier,Custom Data Identifier
aws_amplify_branch,Branch
aws_ec2_transit_gateway_vpc_attachment,Transit Gateway VPC Attachment
aws_route53_resolver_firewall_rule,
aws_ssm_parameter,Parameter
aws_codecommit_approval_rule_template,
aws_dx_macsec_key_association,
aws_internet_gateway_attachment,
aws_emr_cluster,Cluster
aws_networkmanager_attachment_accepter,
aws_secretsmanager_secret_rotation,
aws_glacier_vault,Vault
aws_opsworks_custom_layer,Custom Layer
aws_opsworks_static_web_layer,Static Web Layer
aws_s3control_object_lambda_access_point,
aws_sqs_queue_redrive_allow_policy,
aws_rds_cluster_parameter_group,Cluster Parameter Group
aws_redshift_cluster_iam_roles,
aws_appmesh_virtual_router,Virtual Router
aws_batch_job_definition,Job Definition
aws_dynamodb_global_table,
aws_vpc_endpoint_policy,
aws_fsx_data_repository_association,Data Repository Association
aws_identitystore_group,
aws_cognito_user_pool_domain,
aws_elasticache_global_replication_group,
aws_iam_user_login_profile,
aws_iam_service_linked_role,Service Linked Role
aws_pinpoint_adm_channel,
aws_quicksight_data_source,Data Source
aws_iam_group,
aws_macie2_member,Member
aws_transcribe_language_model,Language Model
aws_detective_member,
aws_dx_hosted_private_virtual_interface,
aws_lb_target_group,Target Group
aws_glue_classifier,
aws_ivs_channel,Channel
aws_s3_bucket_request_payment_configuration,
aws_transfer_user,User
aws_acm_certificate_validation,
aws_athena_workgroup,WorkGroup
aws_autoscaling_policy,
aws_vpc_endpoint_connection_accepter,
aws_ecr_registry_policy,
aws_glue_registry,Registry
aws_ecs_account_setting_default,
aws_emr_studio_session_mapping,
aws_ses_active_receipt_rule_set,
aws_ssoadmin_permission_set,Permission Set
